ID_plot,type,W_field,W_in,W_final,W_diff,moisture
556710,duff,120,108.1,78,30.099999999999994,27.844588344125803
525610,duff,102,102,87.5,14.5,14.215686274509803
558311,duff,130,118,97.5,20.5,17.372881355932204
554405,duff,144,153,102,51,33.33333333333333
554725,duff,120,118,69.5,48.5,41.10169491525424
556704,duff,150,136.5,94.5,42,30.76923076923077
552606,duff,86,118,99,19,16.101694915254235
558217,duff,110,107.2,81,26.200000000000003,24.44029850746269
558212,duff,110,101.2,68,33.2,32.80632411067194
558106,duff,100,93.5,66.3,27.200000000000003,29.090909090909093
554724,duff,220,199.5,120,79.5,39.849624060150376
556507,duff,130,36.7,22,14.700000000000003,40.054495912806544
554515,duff,91,108.6,73,35.599999999999994,32.780847145488025
554511,duff,129,137.5,90,47.5,34.54545454545455
556310,duff,100,100,77,23,23
554310,duff,149,148.8,127,21.80000000000001,14.65053763440861
552608,duff,137,136,112,24,17.647058823529413
550705,duff,123,123.4,93,30.400000000000006,24.63533225283631
554305,duff,129,132.8,108,24.80000000000001,18.67469879518073
550804,duff,120,118.5,105,13.5,11.39240506329114
550803,duff,119,119.5,78,41.5,34.72803347280335
556809,duff,120,113,87.7,25.299999999999997,22.389380530973447
526701,duff,101,100,76.2,23.799999999999997,23.799999999999997
552712,duff,104,102,88.6,13.400000000000006,13.137254901960791
554722,duff,120,120,75.5,44.5,37.083333333333336
554601,duff,134,134,105,29,21.641791044776117
554610,duff,135,135,98,37,27.40740740740741
552714,duff,82,78.2,63.7,14.5,18.542199488491047
536802,duff,131,130,106,24,18.461538461538463
529505,duff,96,95,82,13,13.684210526315791
528503,duff,123,119,99,20,16.80672268907563
525701,duff,127,130,107,23,17.692307692307693
529902,duff,143,141,102,39,27.659574468085108
525704,duff,107,107,90,17,15.887850467289718
527101,duff,112,112,96,16,14.285714285714285
526905,duff,122,122,100,22,18.0327868852459
527111,duff,147,147,98,49,33.33333333333333
528602,duff,111,109,93,16,14.678899082568808
528610,duff,101,101,91,10,9.900990099009901
528105,duff,137,137,104,33,24.087591240875913
529602,duff,87,86,72,14,16.27906976744186
528103,duff,113,115,84,31,26.956521739130434
529513,duff,115,110,103,7,6.363636363636363
528306,duff,120,119,93,26,21.84873949579832
528303,duff,114,107,100,7,6.5420560747663545
528309,duff,99,98,81,17,17.346938775510203
528409,duff,108,108,77,31,28.703703703703702
526908,duff,98,117,82,35,29.914529914529915
527003,duff,114,112,86,26,23.214285714285715
541303,duff,100,76,61,15,19.736842105263158
541305,duff,120,109,85,24,22.018348623853214
538301,duff,150,129,99,30,23.25581395348837
538303,duff,100,81,72,9,11.11111111111111
541301,duff,120,120,109,11,9.166666666666666
542609,duff,160,131,104,27,20.610687022900763
541203,duff,110,99,89,10,10.1010101010101
534420,duff,110,96,59,37,38.54166666666667
533617,duff,100,72,62,10,13.88888888888889
533528,duff,100,77,60,17,22.07792207792208
534402,duff,110,99,88,11,11.11111111111111
534202,duff,130,114,101,13,11.403508771929824
533508,duff,100,78,67,11,14.102564102564102
533419,duff,100,80,58,22,27.500000000000004
550604,duff,83,83,72,11,13.253012048192772
550404,duff,114,114,71,43,37.719298245614034
553911,duff,120,120,102,18,15
550502,duff,111,109,87,22,20.18348623853211
552104,duff,131,131,109,22,16.793893129770993
550607,duff,132,134,94,40,29.850746268656714
553905,duff,148,138,121,17,12.318840579710146
550707,duff,13,136,75,61,44.85294117647059
550409,duff,111,111,83,28,25.225225225225223
549013,duff,139,140,115,25,17.857142857142858
553909,duff,111,111,96,15,13.513513513513514
209706,duff,116,115,84,31,26.956521739130434
209302,duff,127,127,111,16,12.598425196850393
209809,duff,113,117,93,24,20.51282051282051
209222,duff,121,120,105,15,12.5
209102,duff,192,192,130,62,32.29166666666667
209103,duff,125,102,96,6,5.88235294117647
209317,duff,105,101,86,15,14.85148514851485
209619,duff,107,107,89,18,16.822429906542055
209702,duff,122,122,96,26,21.311475409836063
209219,duff,122,120,105,15,12.5
209005,duff,166,166,108,58,34.93975903614458
210805,duff,110,109,98,11,10.091743119266056
211707,duff,122,122,104,18,14.754098360655737
208507,duff,90,89,78,11,12.359550561797752
212501,duff,94,94,79,15,15.957446808510639
211815,duff,94,94,81,13,13.829787234042554
211915,duff,186,185,145,40,21.62162162162162
211813,duff,149,148,102,46,31.08108108108108
211820,duff,121,120,91,29,24.166666666666668
212407,duff,152,163,130,33,20.245398773006134
211004,duff,118,117,103,14,11.965811965811966
211801,duff,117,115,91,24,20.869565217391305
5,duff,198,195,145,50,25.64102564102564
25,duff,230,225,120,105,46.666666666666664
21,duff,146,145,117,28,19.310344827586206
530906,duff,161,161,133,28,17.391304347826086
529607,duff,139,138,110,28,20.28985507246377
529702,duff,182,180,151,29,16.11111111111111
529821,duff,151,151,129,22,14.56953642384106
531002,duff,277,277,226,51,18.4115523465704
20,duff,168,166,133,33,19.879518072289155
10,duff,166,165,135,30,18.181818181818183
531008,duff,136,135,103,32,23.703703703703706
24,duff,230,228,163,65,28.50877192982456
26,duff,157,156,115,41,26.282051282051285
22,duff,218,217,158,59,27.188940092165897
11,duff,236,233,119,114,48.927038626609445
529714,duff,163,162,136,26,16.049382716049383
29,duff,238,238,158,80,33.61344537815126
23,duff,180,173,135,38,21.965317919075144
1,duff,124,122,61,61,50
17,duff,97,96,58,38,39.58333333333333
528403,duff,189,189,115,74,39.15343915343915
19,duff,82,82,69,13,15.853658536585366
2,duff,97,96,73,23,23.958333333333336
16,duff,130,130,61,69,53.07692307692308
527103,duff,172,172,141,31,18.023255813953487
525920,duff,155,154,137,17,11.03896103896104
27,duff,200,198,146,52,26.262626262626267
524917,duff,137,136,118,18,13.23529411764706
13,duff,214,213,180,33,15.492957746478872
527207,duff,174,174,143,31,17.81609195402299
15,duff,101,100,65,35,35
3,duff,152,150,86,64,42.66666666666667
525913,duff,213,213,161,52,24.413145539906104
28,duff,241,240,164,76,31.666666666666664
8,duff,170,168,124,44,26.190476190476193
4,duff,160,155,106,49,31.61290322580645
206708,duff,165,163,135,28,17.177914110429448
14,duff,129,128,105,23,17.96875
6,duff,180,178,85,93,52.24719101123596
7,duff,201,199,124,75,37.68844221105528
538612,duff,103,103,87,16,15.53398058252427
537101,duff,106,106,90,16,15.09433962264151
538601,duff,127,126,114,12,9.523809523809524
540113,duff,83,83,75,8,9.63855421686747
541501,duff,109,108,96,12,11.11111111111111
205519,duff,123,112,89,23,20.535714285714285
538501,duff,142,141,105,36,25.53191489361702
541406,duff,118,119,97,22,18.487394957983195
217002,duff,155,155,129,26,16.7741935483871
218610,duff,111,110,95,15,13.636363636363635
217116,duff,185,188,141,47,25
218703,duff,139,138,106,32,23.18840579710145
218712,duff,108,107,97,10,9.345794392523365
538610,duff,142,154,134,20,12.987012987012985
205522,duff,145,144,125,19,13.194444444444445
540001,duff,103,100,77,23,23
214014,duff,98,96,84,12,12.5
538505,duff,123,121,96,25,20.66115702479339
205517,duff,116,117,89,28,23.931623931623932
533807,duff,112,111,91,20,18.01801801801802
534901,duff,148,147,127,20,13.60544217687075
215406,duff,110,109,90,19,17.431192660550458
534801,duff,167,165,130,35,21.21212121212121
535902,duff,171,169,136,33,19.526627218934912
9,duff,184,183,136,47,25.683060109289617
534706,duff,160,158,120,38,24.050632911392405
534001,duff,213,212,174,38,17.92452830188679
540103,duff,130,130,78,52,40
541405,duff,117,116,95,21,18.103448275862068
206202,duff,135,133,114,19,14.285714285714285
540005,duff,115,114,86,28,24.561403508771928
215417,duff,110,106,96,10,9.433962264150944
207303,duff,188,186,156,30,16.129032258064516
533802,duff,138,169,115,54,31.952662721893493
533117,duff,140,138,114,24,17.391304347826086
534703,duff,113,111,95,16,14.414414414414415
12,duff,144,143,105,38,26.573426573426573
528403,duff,189,189,163,26,13.756613756613756
211810,duff,121,120,102,18,15
209005,duff,166,166,125,41,24.69879518072289
556310,litter,100,98.9,86,12.900000000000006,13.04347826086957
525610,litter,105,105.2,88,17.200000000000003,16.34980988593156
558217,litter,95,95.3,83.7,11.599999999999994,12.172088142707235
554724,litter,90,82.7,63,19.700000000000003,23.821039903264815
558311,litter,124,123,106,17,13.821138211382115
554722,litter,140,135,86,49,36.2962962962963
552714,litter,103,101,86,15,14.85148514851485
554610,litter,100,100,74,26,26
556809,litter,150,116,96,20,17.24137931034483
526701,litter,123,122,98,24,19.672131147540984
554725,litter,140,139.12,97,42.120000000000005,30.276020701552618
558212,litter,100,89.2,75,14.200000000000003,15.919282511210763
556704,litter,110,78.4,62,16.400000000000006,20.918367346938783
556507,litter,160,34.2,28,6.200000000000003,18.12865497076024
558106,litter,110,86.4,71,15.400000000000006,17.82407407407408
554515,litter,90,89.2,67,22.200000000000003,24.887892376681616
554305,litter,90,89,79,10,11.235955056179774
554310,litter,111,111.1,99,12.099999999999994,10.891089108910887
554511,litter,95,95.8,76,19.799999999999997,20.66805845511482
550804,litter,89,87.7,76,11.700000000000003,13.340935005701256
550705,litter,96,96.8,79,17.799999999999997,18.388429752066113
550803,litter,79,81.8,60,21.799999999999997,26.650366748166256
552608,litter,100,98.5,88,10.5,10.65989847715736
554601,litter,84,93,81.4,11.599999999999994,12.473118279569887
552712,litter,102,106,86.5,19.5,18.39622641509434
552606,litter,110,85,62.5,22.5,26.47058823529412
554405,litter,79,79,63.2,15.799999999999997,19.999999999999996
525701,litter,140,140,124,16,11.428571428571429
536802,litter,76,76,65,11,14.473684210526317
525704,litter,88,88,76,12,13.636363636363635
527111,litter,88,87,72,15,17.24137931034483
526905,litter,77,77,67,10,12.987012987012985
529902,litter,120,120,101,19,15.833333333333332
527101,litter,97,96,85,11,11.458333333333332
528602,litter,94,92,83,9,9.782608695652174
528610,litter,78,78,70,8,10.256410256410255
528503,litter,118,117,99,18,15.384615384615385
556710,litter,110,82.7,76,6.700000000000003,8.101571946795652
558217,litter,110,95,90,5,5.263157894736842
529505,litter,92,91,85,6,6.593406593406594
529602,litter,84,81,74,7,8.641975308641975
528105,litter,90,90,74,16,17.77777777777778
529513,litter,92,93,81,12,12.903225806451612
528306,litter,91,90,80,10,11.11111111111111
528409,litter,82,80,71,9,11.25
528309,litter,86,85,77,8,9.411764705882353
528303,litter,114,113,100,13,11.504424778761061
527003,litter,104,103,90,13,12.62135922330097
526908,litter,113,115,100,15,13.043478260869565
528103,litter,92,92,80,12,13.043478260869565
541305,litter,120,106,88,18,16.9811320754717
541303,litter,110,82,76,6,7.317073170731707
538303,litter,110,81,74,7,8.641975308641975
541301,litter,140,111,106,5,4.504504504504505
538301,litter,100,71,66,5,7.042253521126761
542609,litter,120,98,91,7,7.142857142857142
541203,litter,100,92,87,5,5.434782608695652
534420,litter,120,115,98,17,14.782608695652174
533617,litter,100,92,84,8,8.695652173913043
534402,litter,100,87,80,7,8.045977011494253
533419,litter,100,77,69,8,10.38961038961039
533508,litter,100,96,84,12,12.5
534202,litter,130,124,112,12,9.67741935483871
550404,litter,95,95,83,12,12.631578947368421
550409,litter,110,109,86,23,21.100917431192663
550502,litter,80,79,70,9,11.39240506329114
550607,litter,92,91,76,15,16.483516483516482
550604,litter,82,98,86,12,12.244897959183673
553905,litter,101,101,91,10,9.900990099009901
550707,litter,91,91,77,14,15.384615384615385
549013,litter,116,116,99,17,14.655172413793101
552104,litter,83,82,69,13,15.853658536585366
553909,litter,86,85,67,18,21.176470588235293
553911,litter,98,97,86,11,11.34020618556701
209809,litter,116,116,99,17,14.655172413793101
209706,litter,104,102,91,11,10.784313725490197
209317,litter,90,90,77,13,14.444444444444443
209302,litter,116,116,101,15,12.931034482758621
209222,litter,88,87,77,10,11.494252873563218
209102,litter,80,79,69,10,12.658227848101266
209702,litter,88,87,79,8,9.195402298850574
209219,litter,92,91,83,8,8.791208791208792
209103,litter,108,108,99,9,8.333333333333332
209619,litter,110,108,100,8,7.4074074074074066
208507,litter,87,86,75,11,12.790697674418606
209005,litter,71,87,73,14,16.091954022988507
211707,litter,81,77,74,3,3.896103896103896
212501,litter,125,124,110,14,11.29032258064516
210805,litter,87,86,79,7,8.13953488372093
211915,litter,121,119,103,16,13.445378151260504
212407,litter,93,89,82,7,7.865168539325842
211813,litter,74,74,62,12,16.216216216216218
211004,litter,98,97,88,9,9.278350515463918
211801,litter,81,80,72,8,10
211815,litter,156,155,119,36,23.225806451612904
211810,litter,85,83,78,5,6.024096385542169
25,litter,233,231,199,32,13.852813852813853
5,litter,164,161,138,23,14.285714285714285
21,litter,175,173,144,29,16.76300578034682
529821,litter,123,123,110,13,10.569105691056912
529607,litter,104,103,88,15,14.563106796116504
529702,litter,177,176,158,18,10.227272727272728
530906,litter,115,115,96,19,16.52173913043478
529714,litter,125,125,108,17,13.600000000000001
531002,litter,67,66,54,12,18.181818181818183
15,litter,116,125,90,35,28.000000000000004
19,litter,93,94,77,17,18.085106382978726
16,litter,71,71,52,19,26.76056338028169
2,litter,84,84,73,11,13.095238095238097
3,litter,107,107,93,14,13.084112149532709
17,litter,93,93,70,23,24.731182795698924
527103,litter,119,118,105,13,11.016949152542372
1,litter,83,83,67,16,19.27710843373494
524917,litter,115,114,99,15,13.157894736842104
10,litter,160,158,136,22,13.924050632911392
531008,litter,81,80,70,10,12.5
205519,litter,165,165,141,24,14.545454545454545
205522,litter,137,136,121,15,11.029411764705882
14,litter,161,160,138,22,13.750000000000002
537101,litter,68,66,57,9,13.636363636363635
538601,litter,90,89,81,8,8.98876404494382
12,litter,164,164,142,22,13.414634146341465
538505,litter,97,97,84,13,13.402061855670103
7,litter,143,141,121,20,14.184397163120568
538612,litter,81,80,75,5,6.25
541406,litter,78,78,70,8,10.256410256410255
540113,litter,69,69,63,6,8.695652173913043
218703,litter,78,79,70,9,11.39240506329114
214014,litter,87,85,78,7,8.235294117647058
217002,litter,86,85,76,9,10.588235294117647
215417,litter,100,107,95,12,11.214953271028037
540005,litter,69,65,58,7,10.76923076923077
518712,litter,92,91,82,9,9.89010989010989
534801,litter,128,127,115,12,9.448818897637794
534706,litter,130,129,114,15,11.627906976744185
533807,litter,174,173,153,20,11.560693641618498
533802,litter,147,146,130,16,10.95890410958904
11,litter,202,200,159,41,20.5
215406,litter,103,103,89,14,13.592233009708737
838610,litter,97,95,88,7,7.368421052631578
540001,litter,98,96,80,16,16.666666666666664
6,litter,143,141,118,23,16.312056737588655
217116,litter,106,106,100,6,5.660377358490567
534703,litter,157,155,137,18,11.612903225806452
9,litter,105,104,91,13,12.5
218610,litter,100,100,86,14,14.000000000000002
207303,litter,158,157,143,14,8.9171974522293
8,litter,180,181,156,25,13.812154696132598
4,litter,136,135,115,20,14.814814814814813
540103,litter,99,98,82,16,16.3265306122449
541405,litter,72,71,64,7,9.859154929577464
541501,litter,96,97,87,10,10.309278350515463
538501,litter,100,99,88,11,11.11111111111111
205517,litter,131,130,112,18,13.846153846153847
528403,litter,185,184,165,19,10.326086956521738
534001,litter,118,118,109,9,7.627118644067797
206202,litter,182,181,164,17,9.392265193370166
20,litter,150,149,123,26,17.449664429530202
534901,litter,101,106,93,13,12.264150943396226
206708,litter,142,141,126,15,10.638297872340425
28,litter,183,180,136,44,24.444444444444443
535902,litter,135,133,122,11,8.270676691729323
525920,litter,122,120,107,13,10.833333333333334
23,litter,190,188,156,32,17.02127659574468
26,litter,190,189,157,32,16.93121693121693
13,litter,200,200,176,24,12
29,litter,193,190,145,45,23.684210526315788
525913,litter,137,138,122,16,11.594202898550725
527207,litter,112,112,97,15,13.392857142857142
24,litter,210,211,176,35,16.587677725118482
22,litter,194,194,148,46,23.711340206185564
27,litter,200,195,148,47,24.102564102564102
533117,litter,145,144,133,11,7.638888888888889
535902,litter,135,133,122,11,8.270676691729323
533528,litter,110,87,77,10,11.494252873563218
538501,litter,100,99,80,19,19.19191919191919
218712,litter,92,91,82,9,9.89010989010989
538610,litter,97,95,88,7,7.368421052631578
558311,litter,130,123,106,17,13.821138211382115
